"","Country.or.region","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","College.Count","mean_overall_rank <- mean(scores_overall_rank)","mean_scores_teaching_rank <- mean(scores_teaching_rank)","mean.scores.research <- mean(scores_research)","mean_scores_research_rank <- mean(scores_research_rank)","mean_scores_citation_rank <- mean(scores_citations_rank)","mean_industry_income <- mean(scores_industry_income)","mean_international_outcome_rank <- mean(scores_international_outlook_rank)","Has.Top.College","College.Ranking.Happiness.Ranking.Ratio","College.Ranking.to.GDP","College.Ranking.to.SocialSupport","College.Ranking.to.life","College.Ranking.to.freedom","College.Ranking.to.generosity","College.Ranking.to.corruption","Research.to.GDP","Research.to.Social","Research.to.Life","Research.to.Freedom","Research.to.Generosity","Research.to.Corruption"
"1","Finland",1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,9,3362.22222222222,438.666666666667,32.9555555555556,311.111111111111,351.333333333333,46.0222222222222,433.555555555556,TRUE,432.774130804765,2509.12106135987,2118.60253448155,3409.96168582375,5641.31245339299,21975.3086419753,8555.27283008199,24.5936981757877,20.7659455296506,33.4234843362632,55.2945563012677,215.395787944808,83.8563754594289
"2","Denmark",2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,7,2635.71428571429,483.571428571429,36.6428571428571,247.571428571429,231.571428571429,52.4571428571429,195.428571428571,TRUE,346.804511278195,1905.79485590332,1675.59713014258,2646.29948364888,4452.22007722008,10459.1836734694,6428.57142857143,26.4951967771924,23.2948869312506,36.790017211704,61.8967181467182,145.408163265306,89.3728222996516
"3","Norway",3,7.554,1.488,1.582,1.028,0.603,0.271,0.341,5,3522,524.6,25.82,520.2,252,38.58,244.6,TRUE,466.243050039714,2366.93548387097,2226.29582806574,3426.07003891051,5840.7960199005,12996.3099630996,10328.4457478006,17.3521505376344,16.3211125158028,25.1167315175097,42.8192371475954,95.2767527675277,75.7184750733138
"4","Iceland",4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2,3005,1046.5,23.6,501.5,84,47.05,318.5,TRUE,400.987456631972,2177.53623188406,1850.36945812808,2928.84990253411,5084.60236886633,8488.70056497175,25466.1016949153,17.1014492753623,14.5320197044335,23.0019493177388,39.9323181049069,66.6666666666667,200
"5","Netherlands",5,7.488,1.396,1.522,0.999,0.557,0.322,0.298,13,1148.46153846154,184.230769230769,53.8923076923077,100.538461538462,203.076923076923,71.4692307692308,173.230769230769,TRUE,153.373602892834,822.680185144369,754.573941170525,1149.61114961115,2061.86990747134,3566.65074056378,3853.89778007228,38.6048049371832,35.4088749620944,53.9462539462539,96.7545919071951,167.367415193502,180.846670108415
"6","Switzerland",6,7.48,1.452,1.526,1.052,0.572,0.263,0.343,10,1913,240.4,44.78,230.4,252.7,63.25,48.1,TRUE,255.748663101604,1317.49311294766,1253.60419397117,1818.44106463878,3344.40559440559,7273.76425855513,5577.25947521866,30.8402203856749,29.3446920052425,42.5665399239544,78.2867132867133,170.266159695817,130.553935860058
"7","Sweden",7,7.343,1.387,1.487,1.009,0.574,0.267,0.373,11,2245.45454545455,389.727272727273,41.1363636363636,245.818181818182,216.272727272727,57.5363636363636,304.181818181818,TRUE,305.795253364367,1618.92901618929,1510.05685639176,2225.42571402829,3911.94171681977,8409.94211780729,6019.98537655374,29.6585174018483,27.6639970654766,40.7694386881701,71.6661387393095,154.068777664283,110.285157202047
"8","New Zealand",8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,8,3930,712.875,25.7375,458.25,387.625,45.15,70.625,TRUE,537.84042698782,3016.11665387567,2524.08477842004,3830.40935672515,6717.94871794872,11909.0909090909,10342.1052631579,19.7524942440522,16.5301862556198,25.0852826510721,43.9957264957265,77.9924242424242,67.7302631578947
"9","Canada",9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,27,3775.55555555556,450.555555555556,35.6851851851852,334.481481481481,412.37037037037,48.962962962963,234.296296296296,TRUE,518.762785869134,2765.97476597477,2508.67478774456,3633.83595337397,6464.99238964992,13247.5633528265,12258.2972582973,26.1429928096595,23.7110865017842,34.3457027768866,61.1047691527144,125.211176088369,115.860990860991
"10","Austria",10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,9,3838.88888888889,409.666666666667,23.9555555555556,535.111111111111,441.111111111111,52.6666666666667,171,TRUE,529.794215965897,2789.89018087855,2602.63653483992,3778.43394575678,7215.95655806182,15733.1511839709,16986.2340216323,17.4095607235142,16.241054613936,23.578302712161,45.0292397660819,98.1785063752277,105.998033431662
"11","Australia",11,7.228,1.372,1.548,1.036,0.557,0.332,0.29,35,3225.14285714286,582.114285714286,34.2714285714286,332.885714285714,335.571428571429,48.6142857142857,137.657142857143,TRUE,446.201280733655,2350.68721366097,2083.42561830934,3113.0722559294,5790.2026160554,9714.28571428571,11121.1822660099,24.9791753436068,22.1391657438169,33.0805295091009,61.5285970761734,103.227194492255,118.177339901478
"12","Costa Rica",12,7.167,1.034,1.441,0.963,0.558,0.144,0.093,1,6370,1129,7.4,1227,476,34,534,TRUE,888.795869959537,6160.5415860735,4420.5412907703,6614.7455867082,11415.770609319,44236.1111111111,68494.623655914,7.15667311411992,5.1353226925746,7.68431983385254,13.2616487455197,51.3888888888889,79.5698924731183
